epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,10452.2,0.90023,0.71612,1.19762,0.7339,0.74038,0.81115,0.62651,0.91935,0.87077,1.17894,0.0013169,0.0013169,0.0013169
71,10601.2,0.9261,0.7432,1.23753,0.82369,0.75962,0.8334,0.65498,0.81692,0.78493,1.11458,0.001307,0.001307,0.001307
72,10754.3,0.87151,0.6975,1.1871,0.74497,0.89881,0.83958,0.65001,0.8382,0.71243,1.1267,0.0012971,0.0012971,0.0012971
73,10892.9,0.90731,0.70162,1.20324,0.72361,0.88462,0.84917,0.67205,0.85357,0.73268,1.1145,0.0012872,0.0012872,0.0012872
74,11038.8,0.88955,0.68776,1.19051,0.74744,0.73986,0.7711,0.62111,0.8544,1.00085,1.15063,0.0012773,0.0012773,0.0012773
75,11179.5,0.88421,0.69596,1.20268,0.76284,0.71154,0.78774,0.61033,0.86171,0.91066,1.10765,0.0012674,0.0012674,0.0012674
76,11320.3,0.84831,0.67656,1.18567,0.78516,0.75,0.81105,0.60992,0.95993,0.96027,1.18482,0.0012575,0.0012575,0.0012575
77,11463.4,0.85899,0.71727,1.1739,0.65633,0.82692,0.74288,0.54039,0.95799,1.01631,1.21066,0.0012476,0.0012476,0.0012476
78,11609,0.83924,0.68168,1.17332,0.70595,0.86538,0.82748,0.64493,0.85421,0.75779,1.11896,0.0012377,0.0012377,0.0012377
79,11751.9,0.8698,0.67458,1.18705,0.67747,0.74038,0.7624,0.59378,0.89405,0.91891,1.13863,0.0012278,0.0012278,0.0012278
80,11890.3,0.88026,0.68801,1.19834,0.76322,0.80583,0.81455,0.59516,0.90994,0.83124,1.14024,0.0012179,0.0012179,0.0012179
81,12027.7,0.85535,0.67196,1.17735,0.64307,0.84886,0.804,0.6078,0.81394,0.8054,1.06998,0.001208,0.001208,0.001208
82,12166.3,0.8703,0.67758,1.18347,0.74618,0.76322,0.7804,0.6139,0.84361,0.91957,1.09223,0.0011981,0.0011981,0.0011981
83,12304.3,0.87208,0.6873,1.17284,0.73333,0.79328,0.82979,0.63105,0.86345,0.82984,1.13584,0.0011882,0.0011882,0.0011882
84,12441.6,0.88801,0.64991,1.19197,0.72165,0.77885,0.7739,0.62115,0.84821,0.90243,1.1043,0.0011783,0.0011783,0.0011783
85,12600,0.86389,0.69857,1.18704,0.82031,0.73077,0.80461,0.63403,0.85177,0.8443,1.11352,0.0011684,0.0011684,0.0011684
86,12751.9,0.84703,0.67317,1.15302,0.76622,0.78846,0.80937,0.61549,0.8377,0.8567,1.12004,0.0011585,0.0011585,0.0011585
87,12898.9,0.86576,0.64725,1.1583,0.75387,0.88353,0.84259,0.66182,0.80924,0.73716,1.07314,0.0011486,0.0011486,0.0011486
88,13048.9,0.81335,0.65119,1.1422,0.78482,0.7365,0.82517,0.63756,0.82326,0.77927,1.09636,0.0011387,0.0011387,0.0011387
89,13204.5,0.83283,0.62898,1.15715,0.81995,0.832,0.87743,0.70489,0.72741,0.65977,1.03495,0.0011288,0.0011288,0.0011288
90,13362.9,0.82747,0.63946,1.16507,0.75534,0.89423,0.8677,0.69399,0.80004,0.71627,1.08703,0.0011189,0.0011189,0.0011189
91,13529.4,0.84162,0.63277,1.179,0.75232,0.81731,0.81838,0.64392,0.83201,0.81293,1.10536,0.001109,0.001109,0.001109
92,13702.4,0.85165,0.64961,1.15137,0.7622,0.80769,0.82993,0.64849,0.85271,0.81037,1.12694,0.0010991,0.0010991,0.0010991
93,13857.9,0.82469,0.63942,1.15199,0.77312,0.85577,0.85747,0.68201,0.80772,0.82252,1.10966,0.0010892,0.0010892,0.0010892
94,14012.6,0.82037,0.63465,1.14081,0.82929,0.70067,0.78779,0.64874,0.81931,0.95624,1.0905,0.0010793,0.0010793,0.0010793
95,14167,0.8255,0.62685,1.15786,0.80012,0.77885,0.84091,0.66289,0.83922,0.80715,1.11598,0.0010694,0.0010694,0.0010694
96,14321.5,0.83086,0.61436,1.16688,0.77932,0.74704,0.79189,0.6437,0.83014,0.9252,1.11743,0.0010595,0.0010595,0.0010595
97,14472.8,0.80757,0.61269,1.15682,0.7656,0.80769,0.82681,0.65953,0.80022,0.75401,1.09292,0.0010496,0.0010496,0.0010496
98,14621.6,0.79393,0.61231,1.13553,0.71715,0.85331,0.81948,0.66903,0.77412,0.8026,1.05415,0.0010397,0.0010397,0.0010397
99,14770.4,0.79136,0.62963,1.12324,0.74385,0.83767,0.81609,0.63935,0.81672,0.78332,1.08664,0.0010298,0.0010298,0.0010298
100,14920.9,0.81231,0.62472,1.13449,0.73369,0.84615,0.86183,0.69266,0.77902,0.75556,1.09845,0.0010199,0.0010199,0.0010199
101,15070.8,0.82044,0.64555,1.15389,0.79139,0.80254,0.87479,0.69961,0.75639,0.72038,1.06693,0.00101,0.00101,0.00101
102,15226.3,0.78332,0.5966,1.13776,0.80329,0.8246,0.86675,0.7007,0.76254,0.72417,1.06359,0.0010001,0.0010001,0.0010001
103,15379.3,0.77661,0.58347,1.12221,0.76912,0.83654,0.87464,0.70904,0.78545,0.71972,1.08567,0.0009902,0.0009902,0.0009902
104,15529.5,0.80136,0.60213,1.13549,0.85652,0.74624,0.83425,0.67476,0.80483,0.84028,1.08041,0.0009803,0.0009803,0.0009803
105,15679.6,0.82925,0.61073,1.15481,0.71464,0.84283,0.80203,0.63016,0.84018,0.79348,1.10394,0.0009704,0.0009704,0.0009704
106,15830.7,0.78683,0.59129,1.12823,0.77634,0.80103,0.83135,0.67638,0.78894,0.79293,1.0752,0.0009605,0.0009605,0.0009605
107,15979.5,0.808,0.60899,1.13763,0.71947,0.86315,0.8399,0.64855,0.82845,0.75246,1.10592,0.0009506,0.0009506,0.0009506
108,16175.5,0.76835,0.57785,1.12322,0.74153,0.74485,0.7851,0.62199,0.78522,0.83507,1.0847,0.0009407,0.0009407,0.0009407
109,16351.7,0.77393,0.58702,1.13304,0.79632,0.7519,0.83207,0.6619,0.805,0.77398,1.08346,0.0009308,0.0009308,0.0009308
110,16516.1,0.7555,0.56093,1.11859,0.72619,0.86538,0.83902,0.66293,0.79784,0.79032,1.08903,0.0009209,0.0009209,0.0009209
111,16657.9,0.7779,0.57197,1.1219,0.78285,0.80769,0.83549,0.6673,0.79292,0.73667,1.0612,0.000911,0.000911,0.000911
112,16805.9,0.77583,0.59034,1.12436,0.79841,0.85577,0.85839,0.6797,0.82034,0.76067,1.08359,0.0009011,0.0009011,0.0009011
113,16963.2,0.77224,0.57014,1.11913,0.80456,0.87086,0.86021,0.6912,0.74532,0.67149,1.04094,0.0008912,0.0008912,0.0008912
114,17118.4,0.77157,0.58602,1.12708,0.77681,0.875,0.86893,0.7028,0.76299,0.6869,1.07613,0.0008813,0.0008813,0.0008813
115,17267.6,0.73439,0.56454,1.11124,0.75723,0.89976,0.88522,0.72201,0.7597,0.64549,1.04595,0.0008714,0.0008714,0.0008714
116,17416.5,0.74607,0.57483,1.09924,0.87021,0.77363,0.85628,0.67947,0.76623,0.69974,1.07325,0.0008615,0.0008615,0.0008615
117,17573.3,0.74728,0.55666,1.09319,0.72958,0.88205,0.86884,0.70016,0.76651,0.70295,1.06472,0.0008516,0.0008516,0.0008516
118,17723,0.73446,0.54145,1.10024,0.78026,0.82692,0.84518,0.67899,0.7612,0.75016,1.05856,0.0008417,0.0008417,0.0008417
119,17874.9,0.75978,0.5667,1.11083,0.76072,0.89423,0.86148,0.69835,0.75427,0.68982,1.0551,0.0008318,0.0008318,0.0008318
120,18043.5,0.72747,0.56276,1.1063,0.7795,0.88462,0.84718,0.67349,0.7649,0.68511,1.07552,0.0008219,0.0008219,0.0008219
121,18192.2,0.76079,0.57824,1.13136,0.76191,0.89234,0.86916,0.70325,0.7619,0.68309,1.05163,0.000812,0.000812,0.000812
122,18348.2,0.74323,0.56066,1.1199,0.77339,0.88606,0.84786,0.69397,0.74879,0.778,1.03579,0.0008021,0.0008021,0.0008021
123,18508.3,0.73312,0.53342,1.10866,0.7419,0.82919,0.85926,0.69669,0.76044,0.73583,1.05384,0.0007922,0.0007922,0.0007922
124,18702.5,0.71459,0.53058,1.08555,0.79086,0.875,0.85113,0.6884,0.74546,0.70623,1.04125,0.0007823,0.0007823,0.0007823
125,18901,0.76724,0.56883,1.11571,0.81978,0.80769,0.86373,0.69292,0.77732,0.68551,1.05229,0.0007724,0.0007724,0.0007724
126,19096.3,0.72079,0.55933,1.096,0.86394,0.73269,0.87209,0.68013,0.81921,0.66333,1.10069,0.0007625,0.0007625,0.0007625
127,19302.1,0.73187,0.52889,1.09297,0.80945,0.85775,0.87391,0.68605,0.78605,0.68166,1.08534,0.0007526,0.0007526,0.0007526
128,19469.5,0.74423,0.5559,1.11762,0.78816,0.85861,0.87366,0.68943,0.79161,0.65753,1.06312,0.0007427,0.0007427,0.0007427
129,19611.3,0.73326,0.54629,1.09921,0.72164,0.86538,0.85933,0.70399,0.76603,0.69085,1.06085,0.0007328,0.0007328,0.0007328
130,19769.9,0.71085,0.54001,1.09671,0.75995,0.88462,0.87094,0.70516,0.75201,0.71252,1.07045,0.0007229,0.0007229,0.0007229
131,19940.5,0.70945,0.51667,1.09723,0.80414,0.90799,0.89836,0.71609,0.77517,0.62227,1.0766,0.000713,0.000713,0.000713
132,20112.6,0.71128,0.51219,1.09288,0.81289,0.87727,0.91291,0.7462,0.74083,0.5978,1.0413,0.0007031,0.0007031,0.0007031
133,20284,0.68791,0.49766,1.08015,0.86649,0.75,0.87502,0.68057,0.76585,0.75891,1.07108,0.0006932,0.0006932,0.0006932
134,20455.8,0.72427,0.52851,1.09073,0.75427,0.88462,0.88924,0.71608,0.75584,0.67211,1.06756,0.0006833,0.0006833,0.0006833
135,20626.8,0.70591,0.53339,1.09843,0.76902,0.90385,0.89137,0.73003,0.75843,0.65154,1.05968,0.0006734,0.0006734,0.0006734
136,20799.9,0.68708,0.52026,1.07723,0.87773,0.73077,0.85632,0.69113,0.76696,0.77778,1.04299,0.0006635,0.0006635,0.0006635
137,20960.9,0.70583,0.52094,1.07639,0.83335,0.86538,0.89191,0.70839,0.76949,0.62901,1.05113,0.0006536,0.0006536,0.0006536
138,21123.3,0.69534,0.50804,1.08574,0.77522,0.89539,0.87705,0.70596,0.80431,0.71659,1.07167,0.0006437,0.0006437,0.0006437
139,21285.2,0.69325,0.50159,1.06467,0.81236,0.84615,0.88178,0.72891,0.73449,0.69222,1.03503,0.0006338,0.0006338,0.0006338
140,21445.8,0.66924,0.48911,1.06794,0.81483,0.85577,0.89387,0.74715,0.715,0.62854,1.00574,0.0006239,0.0006239,0.0006239
141,21613.4,0.66917,0.50811,1.08396,0.80191,0.90385,0.89399,0.71028,0.75631,0.69323,1.02187,0.000614,0.000614,0.000614
142,21774.8,0.70055,0.512,1.07535,0.77075,0.92308,0.89068,0.7281,0.71921,0.67591,1.02736,0.0006041,0.0006041,0.0006041
143,21922.4,0.65901,0.47592,1.05419,0.8399,0.78846,0.9003,0.74482,0.73491,0.71072,1.04065,0.0005942,0.0005942,0.0005942
144,22082.1,0.67235,0.4888,1.05503,0.84584,0.86538,0.90185,0.71545,0.78254,0.65393,1.04803,0.0005843,0.0005843,0.0005843
145,22253,0.67664,0.48983,1.08052,0.77638,0.86799,0.87942,0.72473,0.73085,0.68423,1.03769,0.0005744,0.0005744,0.0005744
146,22423.9,0.64538,0.49206,1.05693,0.77711,0.87166,0.89214,0.74704,0.73392,0.64069,1.04724,0.0005645,0.0005645,0.0005645
